Cereal,Protein,Fat,Carbohydrates
Apple Cinnamon Cheerios,2,2,10.5
Basic 4,3,2,18.0
Cheerios,6,2,17.0
Cinnamon Toast Crunch,1,3,13.0
Clusters,3,2,13.0
Cocoa Puffs,1,1,12.0
Count Chocula,1,1,12.0
Crispy Wheat & Raisins,2,1,11.0
Golden Grahams,1,1,15.0
Honey Nut Cheerios,3,1,11.5
Kix,2,1,21.0
Lucky Charms,2,1,12.0
Multi-Grain Cheerios,2,1,15.0
Oatmeal Raisin Crisp,3,2,13.5
Raisin Nut Bran,3,2,10.5
Total Corn Flakes,2,1,21.0
Total Raisin Bran,3,1,15.0
Total Whole Grain,3,1,16.0
Triples,2,1,21.0
Trix,1,1,13.0
Wheaties,3,1,17.0
Wheaties Honey Gold,2,1,16.0
All-Bran,4,1,7.0
All-Bran with Extra Fiber,4,0,8.0
Apple Jacks,2,0,11.0
Corn Flakes,2,0,21.0
Corn Pops,1,0,13.0
Cracklin' Oat Bran,3,3,10.0
Crispix,2,0,21.0
Froot Loops,2,1,11.0
Frosted Flakes,1,0,14.0
Frosted Mini-Wheats,3,0,14.0
Fruitful Bran,3,0,14.0
Just Right Crunchy  Nuggets,2,1,17.0
Just Right Fruit & Nut,3,1,20.0
Mueslix Crispy Blend,3,2,17.0
Nut&Honey Crunch,2,1,15.0
Nutri-Grain Almond-Raisin,3,2,21.0
Nutri-grain Wheat,3,0,18.0
Product 19,3,0,20.0
Raisin Bran,3,1,14.0
Raisin Squares,2,0,15.0
Rice Krispies,2,0,22.0
Smacks,2,1,9.0
Special K,6,0,16.0
100% Bran,4,1,5.0
Shredded Wheat,2,0,16.0
Shredded Wheat 'n'Bran,3,0,19.0
Shredded Wheat spoon size,3,0,20.0
Strawberry Fruit Wheats,2,0,15.0
Bran Flakes,3,0,13.0
"""Fruit & Fibre Dates, Walnuts, and Oats""",3,2,12.0
Fruity Pebbles,1,1,13.0
Golden Crisp,2,0,11.0
Grape Nuts Flakes,3,1,15.0
Grape-Nuts,3,0,17.0
Great Grains Pecan,3,3,13.0
Honey-comb,1,0,14.0
Post Nat. Raisin Bran,3,1,11.0
100% Natural Bran,3,5,8.0
Cap'n'Crunch,1,2,12.0
Honey Graham Ohs,1,2,12.0
Life,4,2,12.0
Puffed Rice,1,0,13.0
Puffed Wheat,2,0,10.0
Quaker Oat Squares,4,1,14.0
Almond Delight,2,2,14.0
Bran Chex,2,1,15.0
Corn Chex,2,0,22.0
Double Chex,2,0,18.0
"""Muesli Raisins, Dates, & Almonds""",4,3,16.0
"""Muesli Raisins, Peaches, & Pecans""",4,3,16.0
Rice Chex,1,0,23.0
Wheat Chex,3,1,17.0
Maypo,4,1,16.0
Cream of Wheat (Quick),3,0,21.0
Quaker Oatmeal,5,2,-1.0
